 ;2016;;;
Afghanistan;23.0;;;
Albania;57.7;;;
Algeria;62.0;;;
American Samoa;..;;;
Andorra;63.7;;;
Angola;27.5;;;
Antigua and Barbuda;48.0;;;
Arab World;61.8;;;
Argentina;62.7;;;
Armenia;54.4;;;
Aruba;..;;;
Australia;64.5;;;
Austria;54.3;;;
Azerbaijan;53.6;;;
Bahamas, The;64.4;;;
Bahrain;65.8;;;
Bangladesh;20.0;;;
Barbados;52.4;;;
Belarus;59.4;;;
Belgium;59.5;;;
Belize;54.8;;;
Benin;29.5;;;
Bermuda;..;;;
Bhutan;27.1;;;
Bolivia;56.1;;;
Bosnia and Herzegovina;53.3;;;
Botswana;43.4;;;
Brazil;56.5;;;
British Virgin Islands;..;;;
Brunei Darussalam;41.2;;;
Bulgaria;61.7;;;
Burkina Faso;23.2;;;
Burundi;22.2;;;
Cabo Verde;34.8;;;
Cambodia;21.7;;;
Cameroon;33.6;;;
Canada;64.1;;;
Caribbean small states;53.1;;;
Cayman Islands;..;;;
Central African Republic;26.2;;;
Central Europe and the Baltics;59.0;;;
Chad;23.1;;;
Channel Islands;..;;;
Chile;63.1;;;
China;32.3;;;
Colombia;59.0;;;
Comoros;27.1;;;
Congo, Dem. Rep.;25.3;;;
Congo, Rep.;30.9;;;
Costa Rica;61.6;;;
Cote d'Ivoire;31.6;;;
Croatia;59.6;;;
Cuba;58.5;;;
Curacao;..;;;
Cyprus;59.1;;;
Czech Republic;62.3;;;
Denmark;55.4;;;
Djibouti;38.6;;;
Dominica;60.3;;;
Dominican Republic;61.2;;;
Early-demographic dividend;32.7;;;
East Asia & Pacific;31.2;;;
East Asia & Pacific (excluding high income);31.0;;;
East Asia & Pacific (IDA & IBRD countries);31.0;;;
Ecuador;56.0;;;
Egypt, Arab Rep.;63.5;;;
El Salvador;59.9;;;
Equatorial Guinea;26.7;;;
Eritrea;22.0;;;
Estonia;55.8;;;
Eswatini;38.4;;;
Ethiopia;20.9;;;
Euro area;58.6;;;
Europe & Central Asia;58.6;;;
Europe & Central Asia (excluding high income);57.9;;;
Europe & Central Asia (IDA & IBRD countries);57.9;;;
European Union;59.3;;;
Faroe Islands;..;;;
Fiji;63.8;;;
Finland;57.9;;;
Fragile and conflict affected situations;35.7;;;
France;59.5;;;
French Polynesia;..;;;
Gabon;40.2;;;
Gambia, The;31.9;;;
Georgia;54.2;;;
Germany;56.8;;;
Ghana;32.0;;;
Gibraltar;..;;;
Greece;62.3;;;
Greenland;..;;;
Grenada;51.4;;;
Guam;..;;;
Guatemala;55.9;;;
Guinea;26.6;;;
Guinea-Bissau;29.9;;;
Guyana;49.4;;;
Haiti;54.9;;;
Heavily indebted poor countries (HIPC);27.7;;;
High income;57.2;;;
Honduras;55.8;;;
Hong Kong SAR, China;..;;;
Hungary;61.6;;;
Iceland;59.1;;;
India;19.7;;;
Indonesia;28.2;;;
Iran, Islamic Rep.;61.6;;;
Iraq;64.6;;;
Ireland;60.6;;;
Isle of Man;..;;;
Israel;64.3;;;
Italy;58.5;;;
Jamaica;55.5;;;
Japan;27.2;;;
Jordan;69.6;;;
Kazakhstan;53.6;;;
Kenya;25.5;;;
Kiribati;78.7;;;
Korea, Dem. Peopleâ€™s Rep.;32.4;;;
Korea, Rep.;30.3;;;
Kosovo;..;;;
Kuwait;73.4;;;
Kyrgyz Republic;48.3;;;
Lao PDR;25.4;;;
Late-demographic dividend;38.9;;;
Latin America & Caribbean;59.4;;;
Latin America & Caribbean (excluding high income);59.3;;;
Latin America & the Caribbean (IDA & IBRD countries);59.5;;;
Latvia;57.8;;;
Least developed countries: UN classification;24.8;;;
Lebanon;67.9;;;
Lesotho;38.7;;;
Liberia;30.9;;;
Libya;66.8;;;
Liechtenstein;..;;;
Lithuania;59.6;;;
Low & middle income;34.5;;;
Low income;27.8;;;
Lower middle income;26.4;;;
Luxembourg;58.7;;;
Macao SAR, China;..;;;
Madagascar;23.9;;;
Malawi;23.4;;;
Malaysia;42.5;;;
Maldives;30.6;;;
Mali;28.1;;;
Malta;66.4;;;
Marshall Islands;83.5;;;
Mauritania;34.4;;;
Mauritius;32.3;;;
Mexico;64.9;;;
Micronesia, Fed. Sts.;75.9;;;
Middle East & North Africa;62.9;;;
Middle East & North Africa (excluding high income);61.8;;;
Middle East & North Africa (IDA & IBRD countries);61.8;;;
Middle income;35.1;;;
Moldova;51.8;;;
Monaco;..;;;
Mongolia;55.6;;;
Montenegro;59.4;;;
Morocco;60.4;;;
Mozambique;26.4;;;
Myanmar;24.8;;;
Namibia;40.6;;;
Nauru;88.5;;;
Nepal;21.0;;;
Netherlands;57.8;;;
New Caledonia;..;;;
New Zealand;65.6;;;
Nicaragua;58.2;;;
Niger;22.0;;;
Nigeria;28.9;;;
North America;67.5;;;
North Macedonia;58.1;;;
Northern Mariana Islands;..;;;
Norway;58.3;;;
Not classified;..;;;
OECD members;58.0;;;
Oman;62.6;;;
Other small states;45.0;;;
Pacific island small states;64.0;;;
Pakistan;28.4;;;
Palau;85.1;;;
Panama;58.8;;;
Papua New Guinea;52.9;;;
Paraguay;53.5;;;
Peru;57.5;;;
Philippines;27.6;;;
Poland;58.3;;;
Portugal;57.5;;;
Post-demographic dividend;56.6;;;
Pre-demographic dividend;28.8;;;
Puerto Rico;..;;;
Qatar;71.7;;;
Romania;57.7;;;
Russian Federation;57.1;;;
Rwanda;25.1;;;
Samoa;77.6;;;
San Marino;..;;;
Sao Tome and Principe;35.4;;;
Saudi Arabia;69.7;;;
Senegal;28.4;;;
Serbia;57.1;;;
Seychelles;36.8;;;
Sierra Leone;27.7;;;
Singapore;31.8;;;
Sint Maarten (Dutch part);..;;;
Slovak Republic;56.2;;;
Slovenia;56.1;;;
Small states;47.6;;;
Solomon Islands;55.0;;;
Somalia;28.4;;;
South Africa;53.8;;;
South Asia;20.7;;;
South Asia (IDA & IBRD);20.7;;;
South Sudan;..;;;
Spain;61.6;;;
Sri Lanka;23.3;;;
St. Kitts and Nevis;52.3;;;
St. Lucia;48.1;;;
St. Martin (French part);..;;;
St. Vincent and the Grenadines;55.0;;;
Sub-Saharan Africa;28.9;;;
Sub-Saharan Africa (excluding high income);28.9;;;
Sub-Saharan Africa (IDA & IBRD countries);28.9;;;
Sudan;..;;;
Suriname;58.9;;;
Sweden;56.4;;;
Switzerland;54.3;;;
Syrian Arab Republic;61.4;;;
Tajikistan;45.3;;;
Tanzania;27.7;;;
Thailand;32.6;;;
Timor-Leste;21.6;;;
Togo;28.1;;;
Tonga;78.5;;;
Trinidad and Tobago;46.0;;;
Tunisia;61.6;;;
Turkey;66.8;;;
Turkmenistan;51.8;;;
Turks and Caicos Islands;..;;;
Tuvalu;81.9;;;
Uganda;22.4;;;
Ukraine;58.4;;;
United Arab Emirates;67.8;;;
United Kingdom;63.7;;;
United States;67.9;;;
Upper middle income;43.3;;;
Uruguay;62.9;;;
Uzbekistan;48.2;;;
Vanuatu;57.1;;;
Venezuela, RB;63.4;;;
Vietnam;18.3;;;
Virgin Islands (U.S.);..;;;
West Bank and Gaza;..;;;
World;38.9;;;
Yemen, Rep.;48.8;;;
Zambia;27.8;;;
Zimbabwe;38.2;;;
"Created from: Health Nutrition and Population Statistics
Series : Prevalence of overweight (% of adults)";;;;