Country;2016;;;
Afghanistan;13.9;;;
Albania;0.2;;;
Algeria;1.9;;;
American Samoa;..;;;
Andorra;..;;;
Angola;48.8;;;
Antigua and Barbuda;0.1;;;
Argentina;0.4;;;
Armenia;0.2;;;
Aruba;..;;;
Australia;0.1;;;
Austria;0.1;;;
Azerbaijan;1.1;;;
Bahamas, The;0.1;;;
Bahrain;0.1;;;
Bangladesh;11.9;;;
Barbados;0.2;;;
Belarus;0.1;;;
Belgium;0.3;;;
Belize;1.0;;;
Benin;59.7;;;
Bermuda;..;;;
Bhutan;3.9;;;
Bolivia;5.6;;;
Bosnia and Herzegovina;0.1;;;
Botswana;11.8;;;
Brazil;1.0;;;
British Virgin Islands;..;;;
Brunei Darussalam;0.1;;;
Bulgaria;0.1;;;
Burkina Faso;49.6;;;
Burundi;65.4;;;
Cabo Verde;4.1;;;
Cambodia;6.5;;;
Cameroon;45.2;;;
Canada;0.4;;;
Cayman Islands;..;;;
Central African Republic;82.1;;;
Chad;101.0;;;
Channel Islands;..;;;
Chile;0.2;;;
China;0.6;;;
Colombia;0.8;;;
Comoros;50.7;;;
Congo, Dem. Rep.;59.8;;;
Congo, Rep.;38.7;;;
Costa Rica;0.9;;;
Cote d'Ivoire;47.2;;;
Croatia;0.1;;;
Cuba;1.0;;;
Curacao;..;;;
Cyprus;0.3;;;
Czech Republic;0.2;;;
Denmark;0.3;;;
Djibouti;31.3;;;
Dominica;..;;;
Dominican Republic;2.2;;;
Ecuador;0.6;;;
Egypt, Arab Rep.;2.0;;;
El Salvador;2.0;;;
Equatorial Guinea;22.3;;;
Eritrea;45.6;;;
Estonia;0.1;;;
Eswatini;27.9;;;
Ethiopia;43.7;;;
Faroe Islands;..;;;
Fiji;2.9;;;
Finland;0.1;;;
France;0.3;;;
French Polynesia;..;;;
Gabon;20.6;;;
Gambia, The;29.7;;;
Georgia;0.2;;;
Germany;0.6;;;
Ghana;18.8;;;
Gibraltar;..;;;
Greece;0.1;;;
Greenland;..;;;
Grenada;0.3;;;
Guam;..;;;
Guatemala;6.3;;;
Guinea;44.6;;;
Guinea-Bissau;35.3;;;
Guyana;3.6;;;
Haiti;23.8;;;
Honduras;3.6;;;
Hong Kong SAR, China;..;;;
Hungary;0.2;;;
Iceland;0.1;;;
India;18.6;;;
Indonesia;7.1;;;
Iran, Islamic Rep.;1.0;;;
Iraq;3.0;;;
Ireland;0.1;;;
Isle of Man;..;;;
Israel;0.2;;;
Italy;0.1;;;
Jamaica;0.6;;;
Japan;0.2;;;
Jordan;0.6;;;
Kazakhstan;0.4;;;
Kenya;51.2;;;
Kiribati;16.7;;;
Korea, Dem. Peopleâ€™s Rep.;1.4;;;
Korea, Rep.;1.8;;;
Kosovo;..;;;
Kuwait;0.1;;;
Kyrgyz Republic;0.8;;;
Lao PDR;11.3;;;
Latvia;0.1;;;
Lebanon;0.8;;;
Lesotho;44.4;;;
Liberia;41.5;;;
Libya;0.6;;;
Liechtenstein;..;;;
Lithuania;0.1;;;
Luxembourg;0.1;;;
Macao SAR, China;..;;;
Madagascar;30.2;;;
Malawi;28.3;;;
Malaysia;0.4;;;
Maldives;0.3;;;
Mali;70.7;;;
Malta;0.1;;;
Marshall Islands;..;;;
Mauritania;38.6;;;
Mauritius;0.6;;;
Mexico;1.1;;;
Micronesia, Fed. Sts.;3.6;;;
Moldova;0.1;;;
Monaco;..;;;
Mongolia;1.3;;;
Montenegro;0.1;;;
Morocco;1.9;;;
Mozambique;27.6;;;
Myanmar;12.6;;;
Namibia;18.3;;;
Nauru;..;;;
Nepal;19.8;;;
Netherlands;0.2;;;
New Caledonia;..;;;
New Zealand;0.1;;;
Nicaragua;2.2;;;
Niger;70.8;;;
Nigeria;68.6;;;
North Macedonia;0.1;;;
Northern Mariana Islands;..;;;
Norway;0.2;;;
Oman;0.1;;;
Pakistan;19.6;;;
Palau;..;;;
Panama;1.9;;;
Papua New Guinea;16.3;;;
Paraguay;1.5;;;
Peru;1.3;;;
Philippines;4.2;;;
Poland;0.1;;;
Portugal;0.2;;;
Puerto Rico;..;;;
Qatar;0.1;;;
Romania;0.4;;;
Russian Federation;0.1;;;
Rwanda;19.3;;;
Samoa;1.5;;;
San Marino;..;;;
Sao Tome and Principe;11.4;;;
Saudi Arabia;0.1;;;
Senegal;23.9;;;
Serbia;0.7;;;
Seychelles;0.2;;;
Sierra Leone;81.3;;;
Singapore;0.1;;;
Sint Maarten (Dutch part);..;;;
Slovak Republic;0.1;;;
Slovenia;0.1;;;
Solomon Islands;6.2;;;
Somalia;86.6;;;
South Africa;13.7;;;
South Sudan;63.3;;;
Spain;0.2;;;
Sri Lanka;1.2;;;
St. Kitts and Nevis;..;;;
St. Lucia;0.6;;;
St. Martin (French part);..;;;
St. Vincent and the Grenadines;1.3;;;
Sudan;17.3;;;
Suriname;2.0;;;
Sweden;0.2;;;
Switzerland;0.1;;;
Syrian Arab Republic;3.7;;;
Tajikistan;2.7;;;
Tanzania;38.4;;;
Thailand;3.5;;;
Timor-Leste;9.9;;;
Togo;41.6;;;
Tonga;1.4;;;
Trinidad and Tobago;0.1;;;
Tunisia;1.0;;;
Turkey;0.3;;;
Turkmenistan;4.0;;;
Turks and Caicos Islands;..;;;
Tuvalu;..;;;
Uganda;31.6;;;
Ukraine;0.3;;;
United Arab Emirates;0.1;;;
United Kingdom;0.2;;;
United States;0.2;;;
Uruguay;0.4;;;
Uzbekistan;0.4;;;
Vanuatu;10.4;;;
Venezuela, RB;1.4;;;
Vietnam;1.6;;;
Virgin Islands (U.S.);..;;;
West Bank and Gaza;..;;;
Yemen, Rep.;10.2;;;
Zambia;34.9;;;
Zimbabwe;24.6;;;
"Created from: World Development Indicators
Series : Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)";;;;